file_size,file_entropy,num_strings,mean_section_entropy,max_section_entropy,num_imports,suspicious_imports,crypto_api_detected,label,family,filename
4405080,7.978996714655323,51116,4.280060058559463,6.4174599871908855,164,0,0,0,,notepad-plus-plus_v8.5.7_npp.8.5.7.Installer.arm64.exe
913664,7.935294267466843,10483,4.5798770380049,7.216076133259911,164,0,0,0,,downloads_sourceforge_net_a9156caf_SMPlayer_Portable_MPlayer_Codec_Addon_2007-10-07_online.paf.exe
25446,5.320018297131351,293,,,,,,0,,portableapps_com_6aa38705_.exe
6359232,7.988483014140291,75082,4.279728171963237,6.4378696011937135,162,0,0,0,,notepad-plus-plus_v8.7.8_npp.8.7.8.Installer.arm64.exe
1392480,7.961614793707101,16440,4.587118132062105,7.866475144296684,171,0,0,0,,Greenshot_for_PortableApps_1.2.10.6-RELEASE.paf.exe
208494592,7.996196706760069,2369479,4.660605157410394,6.748278735648908,237,1,1,0,,PowerToys_v0.84.1_PowerToysSetup-0.84.1-arm64.exe
25594,5.322126179648342,293,,,,,,0,,portableapps_com_79821873_.exe
122672,4.930053207532837,2792,,,,,,0,,Xye_Portable_Complete_Puzzle_Pack_2017-06-11.paf.exe
284275840,7.998912111381077,3306163,4.658614276270413,6.748278735648908,237,1,1,0,,PowerToys_v0.86.0_PowerToysUserSetup-0.86.0-x64.exe
6661840,7.989391992750207,78093,4.279724881251898,6.4378696011937135,162,0,0,0,,notepad-plus-plus_npp.8.8.1.Installer.exe
6541144,7.98891580910858,77370,4.27972813107049,6.4378696011937135,162,0,0,0,,notepad-plus-plus_v8.6.9_npp.8.6.9.Installer.x64.exe
25451,5.320458035312935,293,,,,,,0,,portableapps_com_6041f101_.exe
25581,5.329587944392557,293,,,,,,0,,portableapps_com_b66c58c7_.exe
287421056,7.998913581181362,3342931,4.660562667373072,6.748278735648908,237,1,1,0,,PowerToys_v0.87.0_PowerToysUserSetup-0.87.0-x64.exe
